CustomerKey,Segment,SignupDate
283,Small Business,14-10-2023
284,Consumer,02-07-2024
285,Consumer,16-02-2024
286,Corporate,13-03-2023
287,Small Business,12-04-2023
288,Consumer,20-11-2024
289,Consumer,11-06-2024
290,Consumer,25-04-2024
291,Consumer,13-11-2024
292,Consumer,21-01-2022
293,Corporate,26-11-2024
294,Consumer,29-07-2023
295,Small Business,03-08-2023
296,Consumer,07-06-2023
297,Consumer,22-08-2023
298,Consumer,03-04-2024
299,Consumer,19-11-2024
300,Consumer,02-05-2023
301,Consumer,25-05-2023
302,Corporate,05-03-2023
303,Consumer,24-08-2022
304,Consumer,10-07-2023
305,Corporate,15-06-2024
306,Consumer,02-01-2023
307,Consumer,07-11-2024
308,Small Business,10-10-2024
309,Small Business,28-06-2023
310,Consumer,21-12-2023
311,Corporate,20-08-2024
312,Consumer,02-07-2023
313,Consumer,16-11-2023
314,Consumer,13-06-2022
315,Consumer,13-01-2023
316,Small Business,25-10-2024
317,Small Business,17-05-2023
318,Consumer,08-05-2022
319,Consumer,26-07-2022
320,Small Business,24-01-2024
321,Consumer,01-09-2024
322,Consumer,27-11-2024
323,Small Business,30-12-2022
324,Corporate,01-08-2022
325,Corporate,07-05-2023
326,Consumer,24-12-2024
327,Consumer,23-07-2024
328,Consumer,09-03-2024
329,Consumer,18-08-2023
330,Corporate,24-10-2023
331,Consumer,18-12-2023
332,Consumer,18-08-2022
333,Small Business,12-03-2022
334,Consumer,23-11-2024
335,Consumer,20-01-2024
336,Consumer,13-05-2022
337,Small Business,27-11-2024
338,Consumer,24-01-2024
339,Small Business,18-07-2024
340,Small Business,02-06-2024
341,Consumer,05-06-2022
342,Consumer,23-04-2022
343,Consumer,15-11-2024
344,Consumer,04-01-2023
345,Corporate,27-01-2022
346,Small Business,19-02-2023
347,Consumer,21-01-2024
348,Consumer,26-04-2023
349,Small Business,01-12-2023
350,Consumer,15-03-2022
351,Corporate,28-10-2022
352,Consumer,24-05-2022
353,Corporate,25-01-2023
354,Small Business,23-06-2024
355,Consumer,22-01-2022
356,Consumer,16-06-2022
357,Consumer,19-02-2023
358,Small Business,06-10-2022
359,Consumer,12-08-2024
360,Consumer,19-12-2024
361,Consumer,21-11-2024
362,Consumer,04-07-2023
363,Consumer,21-11-2024
364,Consumer,02-02-2022
365,Consumer,12-06-2022
366,Small Business,23-10-2024
367,Corporate,10-10-2023
368,Small Business,24-03-2024
369,Small Business,08-02-2022
370,Small Business,19-11-2022
371,Consumer,05-05-2024
372,Consumer,18-04-2023
373,Consumer,26-05-2023
374,Consumer,19-12-2023
375,Consumer,06-12-2022
376,Consumer,17-10-2024
377,Consumer,25-11-2024
378,Consumer,16-01-2022
379,Small Business,12-05-2022
380,Consumer,08-11-2024
381,Consumer,16-02-2023
382,Consumer,01-05-2023
383,Small Business,20-02-2024
384,Consumer,08-04-2023
385,Consumer,07-02-2022
386,Consumer,29-09-2023
387,Consumer,26-12-2023
388,Consumer,16-06-2023
389,Consumer,01-12-2024
390,Consumer,26-03-2022
391,Consumer,23-04-2022
392,Consumer,18-03-2024
393,Corporate,24-02-2022
394,Consumer,02-03-2023
395,Small Business,12-11-2023
396,Small Business,07-07-2022
397,Corporate,17-02-2023
398,Consumer,16-05-2024
399,Consumer,13-05-2024
400,Consumer,10-06-2024
401,Small Business,02-08-2022
402,Consumer,06-06-2024
403,Consumer,26-09-2022
404,Corporate,13-05-2022
405,Small Business,03-01-2023
406,Small Business,25-03-2023
407,Consumer,13-01-2023
408,Corporate,17-09-2022
409,Consumer,14-01-2023
410,Small Business,30-04-2022
411,Small Business,17-04-2024
412,Consumer,10-11-2023
413,Small Business,14-04-2024
414,Small Business,09-05-2024
415,Consumer,13-11-2024
416,Consumer,17-02-2023
417,Consumer,18-02-2022
418,Consumer,04-10-2023
419,Consumer,10-05-2022
420,Consumer,12-05-2024
421,Small Business,16-11-2024
422,Consumer,23-12-2024
423,Consumer,17-11-2024
424,Consumer,27-01-2023
425,Small Business,01-12-2022
426,Consumer,10-05-2022
427,Corporate,14-08-2022
428,Consumer,02-10-2024
429,Consumer,13-11-2024
430,Small Business,09-01-2023
431,Consumer,06-01-2023
432,Corporate,12-05-2022
433,Consumer,21-02-2022
434,Consumer,25-12-2022
435,Consumer,10-02-2023
436,Consumer,23-02-2022
437,Small Business,28-08-2023
438,Corporate,19-06-2024
439,Consumer,09-02-2024
440,Small Business,21-02-2023
441,Consumer,17-05-2022
442,Small Business,22-01-2023
443,Consumer,05-06-2023
444,Corporate,09-04-2024
445,Corporate,14-12-2022
446,Consumer,30-07-2023
447,Consumer,21-05-2022
448,Consumer,29-05-2022
449,Consumer,10-05-2024
450,Small Business,03-03-2024
451,Corporate,07-10-2022
452,Consumer,23-02-2023
453,Small Business,12-07-2022
454,Corporate,02-06-2022
455,Small Business,06-04-2023
456,Consumer,09-03-2022
457,Consumer,21-07-2024
458,Corporate,15-08-2024
459,Small Business,10-04-2022
460,Consumer,16-04-2024
461,Corporate,06-06-2024
462,Consumer,05-05-2023
463,Consumer,02-12-2023
464,Small Business,11-06-2024
465,Consumer,21-02-2022
466,Small Business,03-05-2024
467,Consumer,20-03-2023
468,Small Business,23-10-2024
469,Consumer,22-08-2023
470,Consumer,13-02-2022
471,Consumer,28-12-2023
472,Consumer,01-02-2024
473,Small Business,12-07-2022
474,Consumer,30-11-2023
475,Consumer,30-12-2024
476,Consumer,09-10-2023
477,Consumer,11-06-2024
478,Consumer,11-02-2022
479,Consumer,14-07-2024
480,Corporate,10-01-2022
481,Consumer,26-08-2023
482,Consumer,18-02-2024
483,Consumer,26-04-2023
484,Consumer,23-12-2022
485,Small Business,24-07-2022
486,Consumer,08-02-2024
487,Consumer,13-02-2022
488,Consumer,30-01-2023
489,Consumer,25-11-2023
490,Corporate,11-01-2024
491,Corporate,26-03-2023
492,Consumer,18-02-2024
493,Small Business,08-03-2023
494,Small Business,24-02-2024
495,Corporate,01-11-2024
496,Consumer,14-02-2023
497,Consumer,18-11-2023
498,Consumer,08-04-2023
499,Corporate,07-06-2023
500,Corporate,15-09-2022
501,Consumer,18-05-2024
502,Small Business,29-11-2024
503,Consumer,23-01-2022
504,Consumer,17-12-2024
505,Small Business,29-12-2022
506,Small Business,20-04-2024
507,Consumer,17-01-2023
508,Corporate,27-12-2022
509,Consumer,25-03-2024
510,Consumer,26-09-2022
511,Corporate,21-11-2023
512,Small Business,06-11-2022
513,Consumer,25-11-2024
514,Small Business,09-08-2024
515,Consumer,01-07-2023
516,Small Business,24-05-2024
517,Corporate,31-05-2022
518,Small Business,28-07-2022
519,Consumer,27-03-2023
520,Corporate,29-01-2024
521,Consumer,12-10-2022
522,Consumer,03-08-2024
523,Corporate,10-12-2024
524,Consumer,28-01-2023
525,Consumer,20-07-2023
526,Small Business,21-03-2022
527,Consumer,18-05-2023
528,Consumer,10-05-2024
529,Small Business,05-09-2024
530,Corporate,29-10-2023
531,Consumer,16-06-2023
532,Consumer,10-08-2024
533,Corporate,13-05-2023
534,Corporate,17-06-2024
535,Consumer,24-04-2024
536,Corporate,25-01-2022
537,Consumer,06-10-2024
538,Consumer,06-12-2022
539,Consumer,06-02-2024
540,Consumer,12-08-2023
541,Consumer,03-02-2024
542,Small Business,12-11-2022
543,Small Business,22-08-2024
544,Consumer,18-03-2022
545,Consumer,27-05-2023
546,Corporate,25-11-2024
547,Consumer,21-03-2022
548,Consumer,23-09-2023
549,Consumer,06-06-2022
550,Consumer,12-07-2022
551,Consumer,27-09-2023
552,Consumer,13-05-2023
553,Corporate,11-05-2023
554,Consumer,02-11-2023
555,Consumer,20-03-2023
556,Consumer,18-06-2022
557,Consumer,07-05-2023
558,Consumer,21-07-2024
559,Corporate,06-05-2024
560,Corporate,07-05-2022
561,Consumer,24-09-2022
562,Consumer,20-12-2022
563,Corporate,11-11-2024
564,Consumer,10-12-2023
565,Consumer,04-07-2024
566,Consumer,16-06-2023
567,Consumer,21-12-2024
568,Corporate,03-10-2022
569,Consumer,01-11-2024
570,Consumer,05-08-2022
571,Consumer,11-09-2022
572,Consumer,10-09-2022
573,Consumer,25-09-2023
574,Corporate,03-12-2022
575,Consumer,12-05-2024
576,Corporate,23-01-2024
577,Consumer,13-12-2024
578,Consumer,13-02-2022
579,Corporate,22-12-2023
580,Consumer,11-02-2022
581,Consumer,01-03-2024
582,Consumer,07-02-2024
583,Small Business,20-03-2023
584,Consumer,17-11-2022
585,Consumer,10-06-2024
586,Consumer,27-11-2024
587,Small Business,23-11-2022
588,Consumer,04-02-2024
589,Consumer,05-03-2024
590,Small Business,11-06-2023
591,Consumer,19-07-2023
592,Consumer,10-08-2023
593,Consumer,20-10-2023
594,Consumer,21-12-2023
595,Consumer,29-05-2023
596,Corporate,28-11-2023
597,Consumer,03-11-2022
598,Small Business,27-02-2024
599,Small Business,31-05-2022
600,Corporate,18-01-2023
601,Small Business,15-08-2023
602,Consumer,05-09-2023
603,Small Business,12-09-2023
604,Small Business,28-09-2022
605,Consumer,03-03-2023
606,Small Business,07-05-2024
607,Consumer,13-03-2023
608,Consumer,26-12-2024
609,Consumer,28-06-2023
610,Small Business,08-11-2023
611,Consumer,14-02-2024
612,Small Business,02-01-2023
613,Small Business,17-06-2022
614,Consumer,08-02-2023
615,Consumer,02-12-2022
616,Consumer,06-07-2024
617,Consumer,30-06-2022
618,Consumer,29-01-2024
619,Small Business,21-06-2024
620,Consumer,02-12-2023
621,Consumer,28-08-2024
622,Consumer,06-04-2023
623,Consumer,11-11-2023
624,Corporate,06-05-2024
625,Consumer,15-05-2024
626,Consumer,26-04-2023
627,Small Business,05-02-2024
628,Small Business,06-07-2022
629,Consumer,10-04-2022
630,Small Business,27-07-2023
631,Corporate,04-10-2022
632,Consumer,24-07-2023
633,Corporate,17-12-2023
634,Consumer,31-07-2023
635,Small Business,20-12-2022
636,Consumer,25-06-2024
637,Consumer,03-02-2024
638,Small Business,12-03-2024
639,Consumer,01-12-2022
640,Corporate,17-02-2023
641,Consumer,03-08-2022
642,Small Business,25-04-2022
643,Consumer,17-07-2024
644,Small Business,20-10-2023
645,Corporate,22-02-2023
646,Consumer,14-09-2024
647,Consumer,30-01-2023
648,Consumer,27-12-2023
649,Corporate,23-10-2023
650,Consumer,06-05-2024
651,Corporate,21-11-2024
652,Small Business,05-02-2024
653,Corporate,31-05-2024
654,Corporate,22-02-2024
655,Consumer,31-08-2022
656,Consumer,31-07-2022
657,Small Business,10-12-2024
658,Consumer,22-02-2022
659,Consumer,06-11-2024
660,Consumer,29-09-2023
661,Consumer,19-06-2022
662,Small Business,21-11-2024
663,Consumer,08-01-2024
664,Consumer,03-05-2023
665,Corporate,22-08-2023
666,Consumer,10-02-2024
667,Consumer,30-05-2022
668,Small Business,09-11-2024
669,Consumer,18-03-2024
670,Consumer,25-03-2022
671,Corporate,03-02-2022
672,Consumer,20-03-2022
673,Small Business,15-05-2022
674,Small Business,21-07-2022
675,Small Business,10-12-2024
676,Consumer,19-09-2024
677,Consumer,11-11-2022
678,Consumer,17-06-2024
679,Consumer,01-06-2023
680,Consumer,09-03-2024
681,Consumer,12-01-2023
682,Small Business,24-06-2023
683,Corporate,19-11-2024
684,Consumer,17-10-2022
685,Consumer,18-09-2022
686,Consumer,07-04-2024
687,Consumer,23-10-2024
688,Consumer,01-06-2022
689,Corporate,08-04-2022
690,Consumer,15-03-2022
691,Small Business,25-04-2022
692,Consumer,18-08-2023
693,Consumer,03-05-2024
694,Consumer,19-05-2022
695,Consumer,03-03-2023
696,Consumer,24-04-2022
697,Consumer,24-09-2024
698,Small Business,28-09-2024
699,Consumer,08-04-2024
700,Consumer,06-12-2022
701,Consumer,24-08-2022
702,Consumer,30-12-2023
703,Small Business,24-12-2024
704,Consumer,29-01-2024
705,Small Business,07-01-2023
706,Consumer,23-08-2023
707,Small Business,26-11-2022
708,Consumer,26-08-2023
709,Corporate,22-09-2024
710,Consumer,08-12-2024
711,Small Business,05-02-2023
712,Consumer,08-03-2022
713,Consumer,11-11-2022
714,Small Business,19-05-2023
715,Small Business,24-10-2022
716,Corporate,02-08-2024
717,Corporate,17-02-2023
718,Consumer,13-09-2024
719,Corporate,31-03-2024
720,Small Business,11-01-2022
721,Corporate,11-04-2024
722,Consumer,02-12-2022
723,Small Business,04-11-2022
724,Consumer,06-03-2024
725,Consumer,29-03-2023
726,Consumer,27-11-2024
727,Consumer,15-07-2022
728,Consumer,26-08-2024
729,Consumer,24-05-2022
730,Small Business,28-03-2024
731,Consumer,26-09-2024
732,Consumer,12-04-2023
733,Small Business,22-06-2024
734,Small Business,16-11-2024
735,Small Business,27-07-2022
736,Consumer,04-02-2022
737,Small Business,08-12-2023
738,Consumer,24-10-2024
739,Corporate,12-08-2022
740,Consumer,08-08-2023
741,Consumer,28-09-2022
742,Corporate,19-06-2023
743,Consumer,14-11-2024
744,Consumer,29-03-2024
745,Corporate,15-08-2023
746,Small Business,28-05-2023
747,Small Business,18-12-2024
748,Consumer,05-10-2022
749,Corporate,29-09-2022
750,Consumer,03-08-2024
751,Consumer,04-01-2023
752,Consumer,12-06-2022
753,Small Business,05-08-2022
754,Consumer,17-07-2022
755,Small Business,27-06-2024
756,Consumer,14-09-2022
757,Consumer,01-01-2023
758,Corporate,31-07-2024
759,Small Business,14-03-2022
760,Consumer,17-01-2024
761,Small Business,05-08-2024
762,Consumer,22-02-2023
763,Consumer,06-07-2024
764,Consumer,03-05-2024
765,Consumer,19-08-2023
766,Small Business,11-10-2022
767,Consumer,26-03-2024
768,Consumer,07-01-2022
769,Corporate,30-06-2022
770,Consumer,16-08-2022
771,Consumer,03-03-2024
772,Consumer,02-11-2022
773,Consumer,08-08-2024
774,Small Business,16-09-2023
775,Small Business,27-04-2022
776,Consumer,08-10-2023
777,Consumer,03-12-2024
778,Corporate,26-10-2024
779,Consumer,15-06-2023
780,Consumer,06-12-2023
781,Small Business,14-08-2022
782,Small Business,18-06-2023
783,Corporate,10-09-2023
784,Consumer,14-10-2023
785,Corporate,02-06-2023
786,Consumer,07-08-2023
787,Corporate,24-09-2022
788,Corporate,13-06-2022
789,Consumer,27-03-2024
790,Consumer,20-05-2024
791,Consumer,28-08-2022
792,Consumer,24-02-2024
793,Consumer,07-12-2024
794,Consumer,29-04-2022
795,Consumer,23-06-2022
796,Consumer,30-07-2022
797,Consumer,09-01-2022
798,Corporate,26-03-2024
799,Consumer,12-07-2024
800,Consumer,16-04-2023
801,Corporate,17-04-2022
802,Consumer,03-03-2024
803,Consumer,16-07-2024
804,Consumer,30-03-2024
805,Small Business,02-12-2023
806,Small Business,24-07-2022
807,Consumer,09-05-2022
808,Small Business,30-08-2024
809,Consumer,17-10-2022
810,Consumer,29-08-2024
811,Corporate,05-03-2022
812,Consumer,02-07-2022
813,Consumer,03-05-2023
814,Consumer,16-09-2023
815,Small Business,24-10-2022
816,Small Business,10-09-2022
817,Corporate,04-07-2024
818,Consumer,25-05-2022
819,Consumer,24-07-2022
820,Consumer,26-10-2023
821,Corporate,02-09-2023
822,Consumer,16-07-2024
823,Small Business,22-08-2022
824,Consumer,14-08-2023
825,Small Business,15-04-2024
826,Consumer,23-06-2024
827,Consumer,24-10-2022
828,Small Business,05-12-2022
829,Small Business,06-02-2022
830,Small Business,10-08-2022
831,Consumer,21-04-2024
832,Small Business,11-11-2022
833,Consumer,18-02-2024
834,Consumer,03-07-2022
835,Corporate,13-07-2023
836,Consumer,10-04-2023
837,Small Business,24-04-2024
838,Consumer,25-05-2022
839,Small Business,08-09-2024
840,Corporate,23-06-2024
841,Consumer,18-07-2023
842,Small Business,09-01-2022
843,Consumer,09-01-2022
844,Consumer,30-04-2022
845,Consumer,17-02-2024
846,Consumer,05-11-2024
847,Consumer,15-12-2022
848,Small Business,29-05-2024
849,Small Business,23-11-2023
850,Small Business,02-06-2022
851,Consumer,15-03-2024
852,Consumer,19-12-2024
853,Consumer,21-05-2022
854,Small Business,21-03-2022
855,Consumer,26-05-2023
856,Corporate,01-02-2022
857,Corporate,27-06-2024
858,Corporate,27-01-2022
859,Consumer,22-12-2023
860,Consumer,15-10-2024
861,Consumer,31-05-2024
862,Small Business,26-12-2022
863,Consumer,24-06-2024
864,Corporate,22-09-2023
865,Consumer,06-11-2023
866,Consumer,22-12-2024
867,Corporate,19-09-2022
868,Corporate,09-06-2024
869,Consumer,10-05-2023
870,Consumer,08-06-2022
871,Consumer,24-09-2024
872,Small Business,01-03-2023
873,Small Business,20-10-2024
874,Corporate,26-08-2024
875,Corporate,07-12-2023
876,Small Business,29-11-2023
877,Consumer,13-09-2024
878,Consumer,08-09-2023
879,Consumer,17-04-2023
880,Small Business,18-09-2024
881,Consumer,28-03-2023
882,Small Business,16-07-2023
883,Corporate,02-11-2023
884,Consumer,10-02-2024
885,Small Business,04-05-2024
886,Small Business,19-01-2024
887,Corporate,01-04-2022
888,Consumer,25-12-2024
889,Corporate,19-12-2024
890,Consumer,12-08-2022
891,Corporate,27-04-2024
892,Consumer,09-12-2022
893,Consumer,05-04-2023
894,Consumer,24-11-2024
895,Small Business,16-01-2023
896,Consumer,21-08-2023
897,Small Business,21-04-2022
898,Consumer,16-09-2022
899,Corporate,30-05-2024
900,Consumer,04-09-2024
901,Corporate,28-12-2024
902,Consumer,11-12-2023
903,Consumer,13-08-2022
904,Consumer,28-08-2022
905,Consumer,21-06-2024
906,Small Business,06-06-2023
907,Consumer,02-08-2022
908,Small Business,04-08-2023
909,Small Business,11-11-2024
910,Corporate,11-02-2023
911,Small Business,31-01-2022
912,Corporate,21-12-2022
913,Small Business,13-12-2023
914,Corporate,25-03-2023
915,Corporate,03-06-2022
916,Consumer,21-09-2024
917,Small Business,03-06-2024
918,Consumer,13-11-2022
919,Consumer,08-12-2023
920,Small Business,09-01-2023
921,Small Business,23-05-2024
922,Consumer,15-08-2024
923,Small Business,19-06-2024
924,Consumer,28-01-2022
925,Small Business,18-07-2022
926,Corporate,19-04-2024
927,Small Business,09-07-2024
928,Corporate,19-04-2023
929,Consumer,25-02-2023
930,Consumer,04-05-2023
931,Consumer,30-08-2022
932,Consumer,13-09-2023
933,Corporate,06-09-2022
934,Consumer,23-06-2023
935,Corporate,01-05-2023
936,Corporate,28-12-2023
937,Consumer,09-02-2024
938,Consumer,01-08-2024
939,Corporate,28-04-2023
940,Consumer,04-09-2024
941,Corporate,01-02-2022
942,Small Business,12-05-2024
943,Consumer,13-07-2024
944,Consumer,11-03-2022
945,Consumer,29-07-2022
946,Consumer,25-08-2022
947,Small Business,10-01-2023
948,Consumer,29-06-2024
949,Consumer,05-01-2023
950,Corporate,09-04-2022
951,Consumer,07-09-2022
952,Corporate,16-09-2023
953,Corporate,28-07-2023
954,Consumer,12-12-2024
955,Consumer,10-05-2024
956,Consumer,21-12-2023
957,Consumer,07-04-2022
958,Consumer,03-03-2024
959,Corporate,29-11-2024
960,Corporate,23-03-2024
961,Consumer,04-03-2022
962,Small Business,07-05-2024
963,Small Business,06-08-2024
964,Corporate,10-05-2023
965,Small Business,24-08-2022
966,Small Business,14-06-2024
967,Consumer,28-11-2022
968,Corporate,22-08-2023
969,Small Business,08-10-2022
970,Corporate,30-07-2024
971,Small Business,18-01-2022
972,Consumer,30-08-2022
973,Consumer,28-07-2022
974,Consumer,13-12-2022
975,Consumer,09-05-2024
976,Small Business,26-01-2022
977,Small Business,12-05-2023
978,Small Business,28-07-2022
979,Consumer,23-06-2024
980,Small Business,15-03-2022
981,Consumer,04-12-2023
982,Consumer,25-07-2022
983,Consumer,27-06-2023
984,Consumer,12-07-2022
985,Consumer,24-10-2022
986,Consumer,11-06-2022
987,Consumer,13-07-2022
988,Consumer,06-08-2024
989,Consumer,04-11-2022
990,Consumer,28-08-2023
991,Small Business,30-09-2022
992,Small Business,18-04-2022
993,Consumer,03-03-2024
994,Consumer,27-08-2023
995,Small Business,31-01-2023
996,Consumer,09-07-2022
997,Consumer,18-11-2024
