OrderID,OrderDate,Region,City,Channel,PaymentMethod,CustomerKey,ProductKey,Quantity,UnitPrice,Discount(%),ShippingFee,Tax_Rate,Returned,ReturnReason,GrossAmount,DiscountAmount,TaxAmount,NetRevenue
700019,2024-03-11,West,Ahmedabad,Online,UPI,4786,10,4,12088,0.05,149,0.18,0,,48352.00,2417.60,8295.01,54378.41
700020,2024-05-28,North,Chandigarh,Online,Card,9237,8,5,42405,0,0,0.18,0,,212025.00,0.00,38164.50,250189.50
700021,2024-11-27,West,Indore,Retail,Card,4120,13,4,4075,0,199,0.18,0,,16300.00,0.00,2969.82,19468.82
700022,2024-09-06,East,Kolkata,Online,UPI,11896,3,4,60206,0.05,0,0.18,0,,240824.00,12041.20,41180.90,269963.70
700023,2024-12-04,North,Delhi,Online,UPI,2102,8,3,52193,0,49,0.18,0,,156579.00,0.00,28193.04,184821.04
700024,2024-09-22,South,Hyderabad,Online,UPI,279,10,6,8189,0,0,0.18,0,,49134.00,0.00,8844.12,57978.12
700025,2024-12-16,East,Bhubaneswar,Online,UPI,7514,12,5,64554,0,49,0.18,0,,322770.00,0.00,58107.42,380926.42
700026,2024-11-26,North,Lucknow,Online,Card,8676,4,2,58964,0,0,0.18,0,,117928.00,0.00,21227.04,139155.04
700027,2024-12-13,South,Kochi,Retail,UPI,8505,12,7,16956,0,0,0.18,0,,118692.00,0.00,21364.56,140056.56
700028,2024-09-06,South,Hyderabad,Online,Card,10839,4,2,32976,0.15,0,0.18,1,No Longer Needed,65952.00,9892.80,10090.66,66149.86
700029,2024-11-10,North,Delhi,Retail,Card,9092,10,4,6307,0.1,49,0.18,0,,25228.00,2522.80,4095.76,26849.96
700030,2024-06-20,North,Chandigarh,Retail,UPI,10866,15,4,11934,0,199,0.18,0,,47736.00,0.00,8628.30,56563.30
700031,2024-12-11,East,Kolkata,Distributor,Card,9541,10,5,14685,0,0,0.18,0,,73425.00,0.00,13216.50,86641.50
700032,2024-12-17,North,Delhi,Retail,UPI,10763,15,5,44780,0,99,0.18,0,,223900.00,0.00,40319.82,264318.82
700033,2024-03-20,North,Jaipur,Online,COD,9667,4,1,15962,0.1,99,0.18,0,,15962.00,1596.20,2603.66,17068.46
700034,2024-02-21,West,Ahmedabad,Online,Card,704,10,2,1884,0,49,0.18,0,,3768.00,0.00,687.06,4504.06
700035,2024-12-01,North,Chandigarh,Online,UPI,7982,9,3,4145,0,99,0.18,0,,12435.00,0.00,2256.12,14790.12
700036,2024-01-15,East,Guwahati,Online,UPI,10888,9,4,1881,0,0,0.18,1,Wrong Item,7524.00,0.00,1354.32,8878.32
700037,2024-08-26,East,Guwahati,Retail,UPI,4606,11,2,13305,0.2,99,0.18,0,,26610.00,5322.00,3849.66,25236.66
700038,2024-11-18,South,Hyderabad,Distributor,Card,3895,12,6,15018,0,149,0.18,0,,90108.00,0.00,16246.26,106503.26
700039,2024-08-09,North,Delhi,Retail,UPI,7334,12,4,17682,0.1,49,0.18,0,,70728.00,7072.80,11466.76,75170.96
700040,2024-11-14,West,Pune,Online,COD,10479,5,6,2089,0.05,149,0.18,1,Wrong Item,12534.00,626.70,2170.13,14226.43
700041,2024-05-23,North,Lucknow,Retail,UPI,1509,4,6,30708,0.2,0,0.18,0,,184248.00,36849.60,26531.71,173930.11
700042,2024-12-20,North,Delhi,Retail,UPI,1893,8,2,35954,0.15,99,0.18,0,,71908.00,10786.20,11019.74,72240.54
700043,2024-12-13,North,Delhi,Retail,UPI,6370,1,2,45209,0.2,199,0.18,0,,90418.00,18083.60,13056.01,85589.41
700044,2024-03-21,South,Kochi,Retail,UPI,5228,7,4,4095,0,99,0.18,0,,16380.00,0.00,2966.22,19445.22
700045,2024-01-21,North,Jaipur,Online,UPI,10010,1,3,19568,0,149,0.18,0,,58704.00,0.00,10593.54,69446.54
700046,2024-11-07,North,Jaipur,Distributor,Card,4127,14,3,31773,0,0,0.18,0,,95319.00,0.00,17157.42,112476.42
700047,2024-02-05,East,Patna,Online,UPI,3636,15,4,39157,0,149,0.18,0,,156628.00,0.00,28219.86,184996.86
700048,2024-11-07,East,Patna,Online,UPI,4524,4,2,31294,0,0,0.18,0,,62588.00,0.00,11265.84,73853.84
700049,2024-05-15,West,Indore,Online,Card,740,2,7,57285,0.05,0,0.18,0,,400995.00,20049.75,68570.14,449515.39
700050,2024-10-03,West,Ahmedabad,Online,COD,1600,15,1,47655,0.05,99,0.18,0,,47655.00,2382.75,8166.82,53538.07
700051,2024-09-10,North,Chandigarh,Distributor,UPI,720,3,6,16915,0.1,99,0.18,0,,101490.00,10149.00,16459.20,107899.20
700052,2024-02-24,South,Kochi,Online,NetBanking,9506,3,2,37302,0.1,99,0.18,0,,74604.00,7460.40,12103.67,79346.27
700053,2024-02-27,West,Pune,Online,NetBanking,8655,14,4,17060,0,0,0.18,0,,68240.00,0.00,12283.20,80523.20
700054,2024-11-02,West,Ahmedabad,Distributor,Card,4812,13,3,1189,0.1,99,0.18,0,,3567.00,356.70,595.67,3904.97
700055,2024-08-17,North,Jaipur,Retail,UPI,10078,8,2,42817,0,99,0.18,1,Wrong Item,85634.00,0.00,15431.94,101164.94
700056,2024-01-18,West,Mumbai,Online,Card,3115,9,3,3771,0.1,49,0.18,0,,11313.00,1131.30,1841.53,12072.23
700057,2024-02-06,East,Kolkata,Distributor,Card,6043,1,4,9833,0,199,0.18,0,,39332.00,0.00,7115.58,46646.58
700058,2024-12-05,South,Kochi,Online,Card,11279,13,2,3855,0,99,0.18,0,,7710.00,0.00,1405.62,9214.62
700059,2024-02-04,North,Delhi,Online,COD,186,4,3,32409,0.15,0,0.18,0,,97227.00,14584.05,14875.73,97518.68
700060,2024-12-10,East,Patna,Online,NetBanking,5144,9,5,1124,0,49,0.18,1,Wrong Item,5620.00,0.00,1020.42,6689.42
700061,2024-08-13,South,Kochi,Online,NetBanking,4104,15,3,51689,0,99,0.18,0,,155067.00,0.00,27929.88,183095.88
700062,2024-03-04,North,Delhi,Online,Card,5708,1,4,59634,0,99,0.18,0,,238536.00,0.00,42954.30,281589.30
700063,2024-10-21,West,Ahmedabad,Retail,Card,11708,14,3,60403,0,49,0.18,0,,181209.00,0.00,32626.44,213884.44
700064,2024-08-11,East,Patna,Retail,COD,2792,5,5,4036,0.05,49,0.18,0,,20180.00,1009.00,3459.60,22679.60
700065,2024-11-20,South,Chennai,Distributor,UPI,10409,5,4,3213,0.15,99,0.18,1,Late Delivery,12852.00,1927.80,1984.18,13007.38
700066,2024-05-29,East,Bhubaneswar,Retail,UPI,9475,10,2,14736,0,0,0.18,0,,29472.00,0.00,5304.96,34776.96
700067,2024-09-08,West,Ahmedabad,Retail,UPI,10676,8,2,22115,0,0,0.18,0,,44230.00,0.00,7961.40,52191.40
700068,2024-12-29,West,Ahmedabad,Online,UPI,3706,13,7,3020,0.05,49,0.18,0,,21140.00,1057.00,3623.76,23755.76
700069,2024-11-26,East,Bhubaneswar,Retail,UPI,741,12,5,24726,0,0,0.18,0,,123630.00,0.00,22253.40,145883.40
700070,2024-11-01,South,Bengaluru,Online,COD,4751,15,4,27017,0.05,149,0.18,0,,108068.00,5403.40,18506.45,121320.05
700071,2024-08-03,East,Patna,Retail,NetBanking,549,10,6,16874,0.05,0,0.18,1,Damaged,101244.00,5062.20,17312.72,113494.52
700072,2024-04-24,South,Kochi,Online,UPI,10106,8,2,40450,0.15,49,0.18,0,,80900.00,12135.00,12386.52,81200.52
700073,2024-01-20,South,Kochi,Retail,NetBanking,4490,15,2,55356,0,0,0.18,0,,110712.00,0.00,19928.16,130640.16
700074,2024-05-08,South,Bengaluru,Online,UPI,8011,1,3,49904,0,49,0.18,0,,149712.00,0.00,26956.98,176717.98
700075,2024-04-04,West,Mumbai,Online,Card,2135,10,4,2480,0.05,0,0.18,0,,9920.00,496.00,1696.32,11120.32
700076,2024-11-23,West,Pune,Online,COD,1717,3,3,28652,0.1,149,0.18,0,,85956.00,8595.60,13951.69,91461.09
700077,2024-11-12,East,Bhubaneswar,Distributor,UPI,2132,3,6,37231,0.05,99,0.18,0,,223386.00,11169.30,38216.83,250532.53
700078,2024-05-17,North,Chandigarh,Online,Card,11841,11,4,7404,0,199,0.18,0,,29616.00,0.00,5366.70,35181.70
700079,2024-05-05,South,Bengaluru,Online,Card,8827,10,4,4726,0,0,0.18,1,Late Delivery,18904.00,0.00,3402.72,22306.72
700080,2024-10-18,North,Delhi,Online,UPI,1540,9,2,3013,0,49,0.18,0,,6026.00,0.00,1093.50,7168.50
700081,2024-08-14,East,Guwahati,Distributor,UPI,5615,12,3,38564,0.25,99,0.18,0,,115692.00,28923.00,15636.24,102504.24
700082,2024-03-05,South,Chennai,Retail,UPI,3095,10,5,14220,0.1,199,0.18,0,,71100.00,7110.00,11554.02,75743.02
700083,2024-01-11,West,Ahmedabad,Distributor,UPI,9216,2,5,26243,0.15,0,0.18,0,,131215.00,19682.25,20075.90,131608.65
700084,2024-06-11,West,Indore,Retail,UPI,2211,4,3,53522,0,199,0.18,0,,160566.00,0.00,28937.70,189702.70
700085,2024-03-22,South,Hyderabad,Online,UPI,10180,2,2,22086,0.25,0,0.18,0,,44172.00,11043.00,5963.22,39092.22
700086,2024-08-02,South,Hyderabad,Distributor,UPI,4070,1,5,36189,0,99,0.18,0,,180945.00,0.00,32587.92,213631.92
700087,2024-10-24,West,Pune,Distributor,Card,6176,4,3,56160,0.1,49,0.18,0,,168480.00,16848.00,27302.58,178983.58
700088,2024-03-20,South,Hyderabad,Online,NetBanking,6265,13,1,3699,0.1,99,0.18,0,,3699.00,369.90,617.06,4045.16
700089,2024-10-16,South,Chennai,Online,NetBanking,1137,6,3,2574,0.1,99,0.18,0,,7722.00,772.20,1268.78,8317.58
700090,2024-05-08,West,Pune,Retail,NetBanking,2901,14,3,13158,0,99,0.18,0,,39474.00,0.00,7123.14,46696.14
700091,2024-10-31,South,Bengaluru,Distributor,NetBanking,2248,9,7,1584,0,0,0.18,0,,11088.00,0.00,1995.84,13083.84
700092,2024-11-09,South,Bengaluru,Online,UPI,9704,14,3,39512,0.1,149,0.18,0,,118536.00,11853.60,19229.65,126061.05
700093,2024-09-14,South,Bengaluru,Online,UPI,2901,15,4,28362,0.1,0,0.18,0,,113448.00,11344.80,18378.58,120481.78
700094,2024-02-10,West,Pune,Retail,Card,9758,7,5,1874,0.05,199,0.18,0,,9370.00,468.50,1638.09,10738.59
700095,2024-04-04,North,Delhi,Online,Card,9364,2,4,53252,0,49,0.18,0,,213008.00,0.00,38350.26,251407.26
700096,2024-12-31,East,Patna,Online,Card,2368,6,5,647,0.2,99,0.18,0,,3235.00,647.00,483.66,3170.66
700097,2024-09-29,North,Lucknow,Retail,UPI,7324,1,3,30134,0,99,0.18,0,,90402.00,0.00,16290.18,106791.18
700098,2024-05-26,North,Chandigarh,Online,UPI,2986,13,7,4465,0.05,99,0.18,0,,31255.00,1562.75,5362.42,35153.67
700099,2024-06-06,West,Indore,Distributor,UPI,5612,2,3,16962,0.1,49,0.18,0,,50886.00,5088.60,8252.35,54098.75
700100,2024-11-05,East,Patna,Online,Card,8580,5,4,3756,0.2,99,0.18,0,,15024.00,3004.80,2181.28,14299.48
700101,2024-10-31,North,Jaipur,Retail,NetBanking,1907,15,3,37054,0,0,0.18,0,,111162.00,0.00,20009.16,131171.16
700102,2024-02-06,South,Bengaluru,Online,UPI,386,1,4,51104,0.2,149,0.18,0,,204416.00,40883.20,29462.72,193144.52
700103,2024-03-18,North,Jaipur,Retail,UPI,9594,4,1,12138,0.05,0,0.18,0,,12138.00,606.90,2075.60,13606.70
700104,2024-04-04,South,Hyderabad,Retail,Card,7159,7,4,4076,0,49,0.18,0,,16304.00,0.00,2943.54,19296.54
700105,2024-11-14,North,Lucknow,Online,UPI,1501,12,4,16436,0.1,99,0.18,0,,65744.00,6574.40,10668.35,69936.95
700106,2024-10-14,East,Kolkata,Retail,Card,407,11,5,13836,0,149,0.18,0,,69180.00,0.00,12479.22,81808.22
700107,2024-10-11,West,Pune,Retail,NetBanking,1273,6,3,4098,0.05,49,0.18,0,,12294.00,614.70,2111.09,13839.39
700108,2024-09-07,West,Ahmedabad,Retail,COD,11296,5,4,3213,0.1,99,0.18,0,,12852.00,1285.20,2099.84,13765.64
700109,2024-03-31,South,Kochi,Online,Card,8719,15,3,21638,0.05,0,0.18,0,,64914.00,3245.70,11100.29,72768.59
700110,2024-03-05,West,Pune,Online,COD,7637,13,3,4173,0,49,0.18,0,,12519.00,0.00,2262.24,14830.24
700111,2024-01-15,South,Hyderabad,Retail,UPI,4253,9,3,2988,0,49,0.18,0,,8964.00,0.00,1622.34,10635.34
700112,2024-07-19,North,Jaipur,Retail,UPI,5150,9,4,1521,0.2,99,0.18,0,,6084.00,1216.80,893.92,5860.12
700113,2024-01-21,South,Hyderabad,Online,COD,2558,11,6,1461,0,49,0.18,0,,8766.00,0.00,1586.70,10401.70
700114,2024-12-11,North,Chandigarh,Retail,UPI,4801,7,3,4229,0.15,99,0.18,0,,12687.00,1903.05,1958.93,12841.88
700115,2024-01-06,West,Indore,Distributor,Card,4986,8,1,32944,0,49,0.18,0,,32944.00,0.00,5938.74,38931.74
700116,2024-02-24,North,Lucknow,Online,UPI,8451,10,1,8145,0.05,49,0.18,0,,8145.00,407.25,1401.62,9188.37
700117,2024-07-13,West,Pune,Online,UPI,3546,1,3,44250,0,49,0.18,0,,132750.00,0.00,23903.82,156702.82
700118,2024-03-22,South,Bengaluru,Online,NetBanking,8169,5,4,2515,0.1,149,0.18,1,Wrong Item,10060.00,1006.00,1656.54,10859.54
700119,2024-11-19,West,Pune,Online,COD,4706,14,4,33235,0.1,149,0.18,0,,132940.00,13294.00,21563.10,141358.10
700120,2024-05-16,South,Kochi,Distributor,NetBanking,11563,7,5,3916,0.05,0,0.18,0,,19580.00,979.00,3348.18,21949.18
700121,2024-02-14,East,Guwahati,Online,UPI,10639,10,3,15045,0.05,99,0.18,0,,45135.00,2256.75,7735.90,50713.15
700122,2024-05-30,East,Bhubaneswar,Online,NetBanking,7444,10,1,12322,0.1,49,0.18,0,,12322.00,1232.20,2004.98,13143.78
700123,2024-09-02,West,Pune,Online,Card,11018,12,4,9841,0.1,99,0.18,0,,39364.00,3936.40,6394.79,41921.39
700124,2024-07-27,West,Indore,Online,COD,304,2,1,10090,0.1,99,0.18,0,,10090.00,1009.00,1652.40,10832.40
700125,2024-03-15,North,Lucknow,Online,UPI,3594,15,6,29207,0.05,49,0.18,0,,175242.00,8762.10,29975.20,196504.10
700126,2024-02-22,South,Bengaluru,Online,UPI,3607,15,7,54124,0,0,0.18,0,,378868.00,0.00,68196.24,447064.24
700127,2024-09-23,West,Ahmedabad,Distributor,UPI,7350,11,4,14864,0,199,0.18,0,,59456.00,0.00,10737.90,70392.90
700128,2024-11-13,East,Patna,Online,UPI,645,15,3,33622,0.05,149,0.18,0,,100866.00,5043.30,17274.91,113246.61
700129,2024-01-01,West,Ahmedabad,Retail,UPI,8350,11,5,10270,0,149,0.18,0,,51350.00,0.00,9269.82,60768.82
700130,2024-04-14,South,Hyderabad,Online,UPI,10891,14,3,34464,0,49,0.18,0,,103392.00,0.00,18619.38,122060.38
700131,2024-05-26,East,Guwahati,Retail,UPI,3979,10,5,6573,0.05,0,0.18,0,,32865.00,1643.25,5619.92,36841.67
700132,2024-04-11,South,Hyderabad,Retail,UPI,4730,1,4,15491,0.2,49,0.18,0,,61964.00,12392.80,8931.64,58551.84
700133,2024-03-16,East,Patna,Online,UPI,11311,5,3,3402,0.05,49,0.18,1,No Longer Needed,10206.00,510.30,1754.05,11498.75
700134,2024-05-23,North,Delhi,Retail,Card,1539,4,5,33535,0.05,99,0.18,1,Late Delivery,167675.00,8383.75,28690.24,188080.49
700135,2024-05-24,North,Delhi,Retail,UPI,403,9,3,2358,0,49,0.18,0,,7074.00,0.00,1282.14,8405.14
700136,2024-12-16,South,Hyderabad,Retail,UPI,6248,4,4,33564,0.1,149,0.18,0,,134256.00,13425.60,21776.29,142755.69
700137,2024-10-05,West,Pune,Retail,Card,11642,9,2,1218,0.05,49,0.18,0,,2436.00,121.80,425.38,2788.58
700138,2024-11-21,West,Ahmedabad,Retail,UPI,11358,6,4,3815,0,99,0.18,0,,15260.00,0.00,2764.62,18123.62
700139,2024-05-21,South,Chennai,Online,UPI,9027,2,3,20800,0,199,0.18,0,,62400.00,0.00,11267.82,73866.82
700140,2024-10-27,West,Indore,Retail,UPI,7950,13,4,2661,0.1,49,0.18,0,,10644.00,1064.40,1733.15,11361.75
700141,2024-09-23,West,Mumbai,Online,UPI,3162,2,5,54463,0,0,0.18,0,,272315.00,0.00,49016.70,321331.70
700142,2024-06-12,East,Kolkata,Online,UPI,5578,1,2,26785,0.15,149,0.18,0,,53570.00,8035.50,8223.03,53906.53
700143,2024-04-11,East,Patna,Online,Card,10551,10,6,14366,0,99,0.18,0,,86196.00,0.00,15533.10,101828.10
700144,2024-03-15,West,Indore,Online,UPI,2128,6,3,2963,0.15,49,0.18,1,Damaged,8889.00,1333.35,1368.84,8973.49
700145,2024-04-27,West,Pune,Online,UPI,9637,5,7,345,0.05,49,0.18,0,,2415.00,120.75,421.78,2765.03
700146,2024-07-26,South,Chennai,Online,Card,7473,2,3,12599,0.25,49,0.18,1,Damaged,37797.00,9449.25,5111.42,33508.17
700147,2024-01-05,West,Indore,Online,COD,7757,8,4,27106,0.15,0,0.18,0,,108424.00,16263.60,16588.87,108749.27
700148,2024-05-01,South,Chennai,Distributor,UPI,4968,15,4,59377,0,0,0.18,0,,237508.00,0.00,42751.44,280259.44
700149,2024-05-01,North,Jaipur,Online,Card,9244,8,3,20622,0,0,0.18,0,,61866.00,0.00,11135.88,73001.88
700150,2024-12-09,North,Jaipur,Online,NetBanking,6,15,4,63971,0.2,0,0.18,0,,255884.00,51176.80,36847.30,241554.50
700151,2024-07-03,East,Bhubaneswar,Online,UPI,3236,12,2,18502,0,49,0.18,0,,37004.00,0.00,6669.54,43722.54
700152,2024-04-13,North,Delhi,Online,Card,6712,6,5,1597,0,99,0.18,0,,7985.00,0.00,1455.12,9539.12
700153,2024-10-08,East,Bhubaneswar,Retail,UPI,2874,10,3,12452,0,49,0.18,0,,37356.00,0.00,6732.90,44137.90
700154,2024-08-04,South,Kochi,Retail,UPI,4617,12,5,34393,0,0,0.18,0,,171965.00,0.00,30953.70,202918.70
700155,2024-04-19,North,Lucknow,Retail,UPI,10429,9,2,1223,0,0,0.18,0,,2446.00,0.00,440.28,2886.28
700156,2024-04-07,South,Hyderabad,Retail,NetBanking,11993,13,5,2100,0,49,0.18,0,,10500.00,0.00,1898.82,12447.82
700157,2024-07-08,South,Bengaluru,Online,UPI,8481,10,1,8038,0.1,149,0.18,0,,8038.00,803.80,1328.98,8712.18
700158,2024-11-29,South,Kochi,Online,UPI,1829,1,4,13030,0,99,0.18,0,,52120.00,0.00,9399.42,61618.42
700159,2024-10-08,North,Delhi,Retail,NetBanking,3297,5,3,3244,0,0,0.18,0,,9732.00,0.00,1751.76,11483.76
700160,2024-10-15,South,Hyderabad,Distributor,NetBanking,10932,10,4,14445,0.2,199,0.18,0,,57780.00,11556.00,8356.14,54779.14
700161,2024-04-11,South,Chennai,Online,Card,9518,9,1,2519,0,99,0.18,0,,2519.00,0.00,471.24,3089.24
700162,2024-09-29,East,Patna,Retail,NetBanking,1183,14,4,33877,0,49,0.18,0,,135508.00,0.00,24400.26,159957.26
700163,2024-07-31,East,Patna,Online,UPI,4495,3,5,38247,0,149,0.18,0,,191235.00,0.00,34449.12,225833.12
700164,2024-11-06,East,Guwahati,Distributor,NetBanking,5893,12,3,47095,0,199,0.18,0,,141285.00,0.00,25467.12,166951.12
700165,2024-10-12,East,Patna,Retail,Card,3635,13,5,2148,0,49,0.18,0,,10740.00,0.00,1942.02,12731.02
700166,2024-10-03,North,Chandigarh,Retail,NetBanking,4555,8,2,41600,0,199,0.18,0,,83200.00,0.00,15011.82,98410.82
700167,2024-01-28,South,Chennai,Online,UPI,11378,1,4,10799,0.1,149,0.18,0,,43196.00,4319.60,7024.57,46049.97
700168,2024-02-14,North,Delhi,Online,NetBanking,4538,13,3,3064,0.1,49,0.18,0,,9192.00,919.20,1497.92,9819.72
700169,2024-02-25,South,Bengaluru,Online,UPI,4176,9,2,2691,0.1,0,0.18,0,,5382.00,538.20,871.88,5715.68
700170,2024-12-18,South,Chennai,Distributor,COD,8312,9,3,3670,0,0,0.18,0,,11010.00,0.00,1981.80,12991.80
700171,2024-03-25,North,Lucknow,Retail,UPI,3511,4,1,37854,0.2,49,0.18,0,,37854.00,7570.80,5459.80,35792.00
700172,2024-10-01,East,Patna,Retail,COD,5766,6,6,2878,0.25,99,0.18,0,,17268.00,4317.00,2349.00,15399.00
700173,2024-11-08,South,Chennai,Online,UPI,5306,5,3,596,0,149,0.18,0,,1788.00,0.00,348.66,2285.66
700174,2024-11-06,East,Guwahati,Online,UPI,1001,3,3,51309,0.25,149,0.18,0,,153927.00,38481.75,20806.96,136401.21
700175,2024-07-25,West,Ahmedabad,Retail,UPI,8999,15,4,47599,0.2,99,0.18,0,,190396.00,38079.20,27434.84,179850.64
700176,2024-03-27,East,Patna,Retail,UPI,10903,13,5,1414,0,199,0.18,1,Damaged,7070.00,0.00,1308.42,8577.42
700177,2024-11-12,North,Lucknow,Retail,UPI,10344,11,2,4804,0.1,0,0.18,0,,9608.00,960.80,1556.50,10203.70
700178,2024-05-11,East,Kolkata,Online,Card,7194,7,2,4292,0.05,0,0.18,0,,8584.00,429.20,1467.86,9622.66
700179,2024-11-21,North,Chandigarh,Retail,UPI,8032,7,5,3980,0.05,0,0.18,0,,19900.00,995.00,3402.90,22307.90
700180,2024-12-28,East,Bhubaneswar,Online,NetBanking,7851,15,2,32865,0.15,0,0.18,0,,65730.00,9859.50,10056.69,65927.19
700181,2024-02-08,East,Guwahati,Online,UPI,1788,7,5,908,0.1,0,0.18,0,,4540.00,454.00,735.48,4821.48
700182,2024-03-29,West,Indore,Online,Card,9954,5,2,2559,0,149,0.18,0,,5118.00,0.00,948.06,6215.06
700183,2024-11-21,North,Jaipur,Online,UPI,1583,8,3,22790,0,149,0.18,0,,68370.00,0.00,12333.42,80852.42
700184,2024-01-26,East,Guwahati,Retail,Card,1539,10,7,11784,0,0,0.18,0,,82488.00,0.00,14847.84,97335.84
700185,2024-10-06,North,Lucknow,Retail,Card,1739,9,2,545,0.05,149,0.18,0,,1090.00,54.50,213.21,1397.71
700186,2024-10-13,East,Patna,Retail,UPI,2621,13,5,3910,0.05,0,0.18,0,,19550.00,977.50,3343.05,21915.55
700187,2024-10-01,North,Lucknow,Retail,NetBanking,11908,13,3,1301,0.15,0,0.18,0,,3903.00,585.45,597.16,3914.71
700188,2024-08-14,North,Delhi,Online,NetBanking,4702,3,5,62213,0,199,0.18,0,,311065.00,0.00,56027.52,367291.52
700189,2024-11-05,East,Guwahati,Online,Card,1089,15,2,24802,0.05,49,0.18,0,,49604.00,2480.20,8491.10,55663.90
700190,2024-03-17,North,Lucknow,Online,UPI,9577,8,2,11724,0.2,199,0.18,0,,23448.00,4689.60,3412.33,22369.73
700191,2024-10-22,North,Jaipur,Online,Card,7943,5,6,2956,0.05,199,0.18,0,,17736.00,886.80,3068.68,20116.88
700192,2024-10-10,East,Bhubaneswar,Online,Card,1976,5,5,371,0,199,0.18,0,,1855.00,0.00,369.72,2423.72
700193,2024-06-11,West,Indore,Online,COD,8485,9,2,1465,0,49,0.18,0,,2930.00,0.00,536.22,3515.22
700194,2024-02-19,North,Delhi,Online,Card,7377,1,2,60605,0.1,149,0.18,0,,121210.00,12121.00,19662.84,128900.84
700195,2024-11-12,East,Guwahati,Online,UPI,443,14,1,60374,0.15,0,0.18,0,,60374.00,9056.10,9237.22,60555.12
700196,2024-07-23,East,Kolkata,Online,NetBanking,2162,11,4,16830,0.05,0,0.18,0,,67320.00,3366.00,11511.72,75465.72
700197,2024-11-28,South,Kochi,Retail,NetBanking,7412,10,6,8983,0,49,0.18,0,,53898.00,0.00,9710.46,63657.46
700198,2024-11-02,North,Jaipur,Online,UPI,5883,11,4,15163,0.25,199,0.18,0,,60652.00,15163.00,8223.84,53911.84
700199,2024-01-13,South,Bengaluru,Online,UPI,812,5,4,536,0.05,199,0.18,0,,2144.00,107.20,402.44,2638.24
700200,2024-11-18,East,Guwahati,Online,Card,282,10,7,12773,0,0,0.18,0,,89411.00,0.00,16093.98,105504.98
700201,2024-06-19,South,Kochi,Online,NetBanking,5523,8,4,22232,0.1,49,0.18,0,,88928.00,8892.80,14415.16,94499.36
700202,2024-12-15,South,Kochi,Online,Card,4014,15,5,54630,0.05,0,0.18,0,,273150.00,13657.50,46708.65,306201.15
700203,2024-10-22,South,Chennai,Retail,Card,4912,15,3,46416,0,0,0.18,0,,139248.00,0.00,25064.64,164312.64
700204,2024-06-22,North,Lucknow,Online,COD,2400,11,2,3167,0,49,0.18,0,,6334.00,0.00,1148.94,7531.94
